id,relation,comment,domain,text
3595,Other,Comment: Location,Story,Our <e1>newsroom</e1> contains the latest <e2>developments</e2> in UK foreign policy and news on the work of the British Embassy and Consulates around the US.
3596,"Cause-Effect(e2,e1)",Comment:,Biology,"Pneumonia is an <e1>inflammation</e1> of the lungs caused by bacteria, viruses, or chemical <e2>irritants</e2>."
3597,"Instrument-Agency(e1,e2)",Comment:,Education,This is the best <e1>book</e1> for <e2>programmers</e2> needing algorithms not theory.
3598,"Component-Whole(e1,e2)",Comment:,Technology,"In addition to a speedometer, a flickering digital meter mounted on the <e1>dashboard</e1> of the <e2>truck</e2> tells you how much energy is being drawn from the batteries."
3599,"Cause-Effect(e2,e1)",Comment:,Biology,The <e1>blockages</e1> are caused by a build-up of <e2>fatty plaque</e2> along the artery walls.
3600,"Entity-Origin(e1,e2)",Comment:,News,The report refers to the arrival of the first Somali <e1>settlers</e1> from the <e2>north</e2> in three waves.
3601,"Entity-Destination(e1,e2)",Comment: digressions is part of the text,Education,The student moved his <e1>digressions</e1> into <e2>footnotes</e2>.
3602,"Component-Whole(e2,e1)",Comment:,Technology,This <e1>wheel</e1> with its snout-engaging <e2>pins</e2> is exposed so that the worker can thrust the snout thereagainst.
3603,"Message-Topic(e1,e2)",Comment:,Politics,The <e1>statute</e1> covering the <e2>matter</e2> specified in detail when and where the fair was to be held.
3604,Other,Comment: The sentence violates restriction (b).,Education,Considerable <e1>attention</e1> has been directed toward the <e2>study</e2> of the motility of the stomach and its regulation by the extrinsic nerves.
3605,"Cause-Effect(e2,e1)",Comment:,Economic,The <e1>demise</e1> of the bees has been caused by the globalization of <e2>commerce</e2>.
3606,"Content-Container(e1,e2)",Comment: prototypical example.,News,"The first <e1>bomb</e1> to explode in the main northwest city of Peshawar on Saturday was hidden in a <e2>car</e2> and devastated a street busy with traffic, shoppers and worshippers heading to mosques to pray."
3607,"Component-Whole(e2,e1)",Comment:,Technology,"Both <e1>trucks</e1> run on lead-acid <e2>batteries</e2>, common in most vehicles."
3608,"Entity-Destination(e1,e2)",Comment:,Education,The governments sent <e1>scientists</e1> to the <e2>desert</e2> for surveying climate changes.
3609,"Entity-Origin(e1,e2)",Comment:,Story,The <e1>letter</e1> was from a <e2>woman</e2> who explained to me every single detail of a three month affair she had with my husband.
3610,"Cause-Effect(e2,e1)",Comment:,Biology,Staphylococcal <e1>food poisoning</e1> is caused by <e2>eating</e2> food contaminated with Staphylococcus aureus.
3611,"Product-Producer(e2,e1)",Comment: veteran is not a producer,News,The decorated Vietnam <e1>veteran</e1> posts a weekly <e2>tribute</e2> to service members killed in Iraq and Afghanistan.
3612,"Instrument-Agency(e2,e1)",Comment:,Education,The <e1>student</e1> formed a paragraph using a <e2>phrase</e2> from an original source.
3613,Other,Comment:,News,"Doc's former lover, the erstwhile hippie Shasta, has become entangled with a married, <e1>billionaire</e1> <e2>developer</e2>, Marty Wolfmann."
3614,Other,"Comment: Metaphorical sentence, 'alleys' is not suitable as a member.",Story,"British, were engaged, at great odds, with the swarming <e1>rabble</e1> of the <e2>alleys</e2>."
3615,"Content-Container(e1,e2)",Comment: prototypical example,Story,"The <e1>binder</e1> was in a <e2>box</e2> labeled vegetable oil""."""
3616,"Content-Container(e1,e2)",Comment: prototypical example,Technology,Each feeding unit contains sensor for measure of remaining <e1>feed</e1> in a <e2>scuttle</e2>.
3617,"Member-Collection(e2,e1)",Comment: A crush is a set of things.,News,Reporters commented on the <e1>crush</e1> of <e2>candidates</e2> compared to the crowd of supporters.
3618,"Cause-Effect(e1,e2)",Comment:,News,"<e1>Properties</e1> of the soils developed from the <e2>amphibolites</e2> of Santiago-Ponte Ulla, Spain."
3619,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Story,"Speaking of nerdy sweaters, my <e1>girlfriend</e1> knit me a Mugatu <e2>sweater</e2> for xmas a few years back."
3620,"Message-Topic(e1,e2)",Comment:,Story,Nearly all transcribed interview <e1>text</e1> was on the subject of smoking <e2>cessation</e2>.
3621,Other,Comment: a strategy is a method of (prescription for) doing something,News,The Declaration urged that such <e1>strategies</e1> address the root <e2>causes</e2> and risk factors of crime and victimization.
3622,"Member-Collection(e2,e1)","Comment: Canaille: a disorganized collection of things, highly metaphorical use here.",Biology,"Behind him crouch <e1>canaille</e1> of minor <e2>letters</e2> sins, venial sycophantic hacks with shady past."
3623,"Product-Producer(e1,e2)","Comment: (a), (d) satisfied",Art,D. G. Phalke's Raja Harishchandra is the earliest Indian fiction <e1>film</e1> made by an Indian <e2>director</e2>.
3624,"Product-Producer(e2,e1)",Comment: (a) is satisfied,News,"The <e1>author</e1> has published a <e2>statement</e2> on a website calling the diagnosis an embuggerance""."""
3625,"Entity-Destination(e1,e2)",Comment: allowed by b.1,Story,<e1>Wealth</e1> is migrating into <e2>communities</e2> in Verde Valley/Sedona.
3626,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Story,"He was a maker of things, a <e1>builder</e1> of <e2>institutions</e2>, a harvester and disseminator and progenitor of ideas and the means whereby those ideas were made flesh."
3627,"Entity-Origin(e1,e2)",Comment:,Politics,The <e1>ministers</e1> went away from the December <e2>conference</e2>.
3628,"Entity-Destination(e1,e2)",Comment:,Economic,Our company has released five computer <e1>applications</e1> to the Apple's online <e2>shops</e2>.
3629,"Component-Whole(e2,e1)",Comment:,Story,"This farm <e1>equipment</e1> adopts the air-cooled diesel <e2>engine</e2>, which is very suitable to the place where lacks of water or is difficult to fetch water."
3630,"Entity-Origin(e2,e1)",Comment:,Chemistry,Natural rubber latex or synthetic <e1>rubber</e1> is the main ingredient used for making rubber latex dipped <e2>products</e2>.
3631,"Entity-Destination(e1,e2)",Comment:,Story,Bogus water collectors have dropped <e1>flyers</e1> into people's letter <e2>boxes</e2>.
3632,"Entity-Destination(e1,e2)",Comment: both are abstract,Economic,"EU is pouring a <e1>million</e1> into next, next generation <e2>mobile</e2>."
3633,"Cause-Effect(e2,e1)",Comment:,News,"Solar disturbances such as flares, prominences, and sunspots increase the amount of <e1>radiation</e1> from the <e2>sun</e2>."
3634,"Component-Whole(e1,e2)",Comment:,Story,We pulled the engine out to fix the main oil gasket on the <e1>crank</e1> of the <e2>engine</e2>.
3635,"Product-Producer(e1,e2)","Comment: (a),(d) satisfied",Politics,"A vivid <e1>comment</e1> was made by the German <e2>critic</e2>, Walter Benjamin."
3636,"Cause-Effect(e2,e1)",Comment:,News,"The results support the theoretical model conceptualizing alcohol use and misuse as being the product of <e1>stress</e1> caused by constraints and <e2>resources</e2> brought to bear simultaneously by agent personality, structures of daily life, and macro social structures."
3637,"Message-Topic(e1,e2)",Comment:,History,"<e1>Negotiations</e1> between the European Community and Greenland on a fourth <e2>protocol</e2> concerning the implementation of the agreement, were concluded at 13 September 2000."
3638,"Message-Topic(e2,e1)",Comment:,News,Taylor reflected on his <e1>actions</e1> in a 2003 <e2>interview</e2>.
3639,"Component-Whole(e1,e2)",Comment:,Story,The <e1>rope</e1> of the <e2>swing</e2> makes an angle of 10 with the downward vertical.
3640,"Message-Topic(e2,e1)",Comment:,News,"<e1>Garbage</e1> is rapidly becoming the topic of <e2>discussion</e2> in business meetings, political conventions, and even at the dinner table."
3641,Other,Comment: A union cannot possibly be an element of masses.,Story,"When the great <e1>union</e1> of the popular <e2>masses</e2> of France opposed the great union of the adherents of the monarchy and the victory of 'political reform' had been attained, many countries followed the French example and undertook all sorts of 'political reforms'."
3642,"Entity-Destination(e1,e2)",Comment:,Economic,The company invested a <e1>million</e1> into a new <e2>product</e2> for potential profit.
3643,"Cause-Effect(e2,e1)",Comment:,Biology,"A significant portion of head and neck <e1>cancers</e1>, anal cancers, and cancer of the larynx are caused by the human <e2>papillomavirus</e2>."
3644,"Component-Whole(e2,e1)",Comment:,Physic,"<e1>Light</e1> is composed of <e2>particles</e2> or corpuscles, which are refracted by accelerating into a denser medium."
3645,"Cause-Effect(e1,e2)",Comment:,News,"<e1>Overpopulation</e1> and poverty cause <e2>tension</e2> not only within communities and countries, but throughout the world."
3646,"Instrument-Agency(e2,e1)",Comment:,News,Taylor's <e1>accomplice</e1> killed the victim with a coat <e2>hanger</e2>.
3647,Other,Comment: Purpose-Tool,Education,A great <e1>resume</e1> is the best tool for a successful career <e2>transition</e2>.
3648,"Content-Container(e1,e2)",Comment: prototypical example,Physic,The <e1>thermocouple</e1> was in a <e2>box</e2> (to prevent it from being sprayed with liquid nitrogen) and in a small block of thermal insulation (to reduce excessive cycling).
3649,"Cause-Effect(e2,e1)",Comment:,Story,The only <e1>light</e1> in the house was radiating from the TV <e2>screen</e2>.
3650,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Story,"Under a giant silk <e1>cocoon</e1> created by an army of <e2>caterpillars</e2>, the shape of a Honda is just about visible."
3651,"Entity-Origin(e1,e2)",Comment:,News,"In other news, a young and deadly <e1>kitten</e1> has absconded from an interrogation <e2>room</e2> at about 3:00 AM this morning."
3652,"Cause-Effect(e2,e1)",Comment:,Economic,"In economic terms, the ecological <e1>catastrophe</e1> caused by the Prestige oil <e2>spill</e2> is comparable with that caused by the Exxon Valdez."
3653,"Entity-Destination(e1,e2)",Comment:,Story,He drags and drops the <e1>file icon</e1> into a <e2>folder</e2>.
3654,"Component-Whole(e1,e2)",Comment:,Art,In this article most of the photos are taken with the fish oriented with the <e1>head</e1> of the <e2>fish</e2> pointing away from you and and turned upside down.
3655,Other,Comment:,Education,Tense is a temporal linguistic <e1>quality</e1> expressing the <e2>time</e2>.
3656,"Component-Whole(e2,e1)",Comment:,Story,"Slowly, with a shaking hand, he reached out and grasped the <e1>axe</e1> by the <e2>haft</e2>."
3657,"Instrument-Agency(e2,e1)",Comment:,Story,The <e1>team</e1> stapled the plastic along the joists with heavy duty staple <e2>guns</e2> to hold it in place.
3658,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Story,"However, legal experts expressed surprise at the <e1>car</e1> <e2>manufacturer</e2>'s stance."
3659,Other,Comment:,Story,The beautiful <e1>outside</e1> of the <e2>store</e2> is complementary to the local surroundings and is designed to be a store of the community.
3660,"Component-Whole(e1,e2)",Comment: chapters have a functional relation and specific ordering in a book.,Story,"The qualitative <e1>chapters</e1> appear earlier in the <e2>book</e2> and focus on the issue of political legitimacy. re the core"" of this fundamental handbook on heterogeneous catalysis."""
3661,Other,Comment:,Biology,An important aim concerning <e1>enamel</e1> and dentin <e2>erosion</e2> is to identify agents that might protect the tooth surface from demineralization.
3662,Other,"Comment: Indirect membership: enterprise, not officer.",Politics,"A representative is a technical guarantor, a partner or an <e1>officer</e1> of an enterprise who is a member of the <e2>corporation</e2> and who is designated as a representative for the enterprise in accordance with sections 79 and 80 of the Regulation respecting the internal management of the Corporation of Master Electricians of Quebec."
3663,"Entity-Origin(e1,e2)",Comment:,FirstP,I learned my <e1>recipe</e1> from a Cuban <e2>lady</e2>.
3664,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Story,"The <e1>man</e1> has written his most high-profile <e2>work</e2> yet, a poem to be broadcast on television to mark the fifth anniversary of the World Trade Center attacks."
3665,"Entity-Destination(e1,e2)",Comment:,Story,"When the layers have separated, the lower <e1>layer</e1> drained into a <e2>beaker</e2>; this phase is thrown away."
3666,"Cause-Effect(e2,e1)",Comment:,Technology,"Biomagnetic Research, in Arizona, makes a range of devices for neutralizing <e1>radiation</e1> from <e2>computers</e2> and other sources."
3667,"Cause-Effect(e2,e1)",Comment:,Story,The family members also get great <e1>joy</e1> from <e2>dogs</e2> doing tricks and great for family activities.
3668,"Member-Collection(e2,e1)",Comment: (a) is satisfied,Story,Her <e1>father</e1> also was a member of the new <e2>party</e2> and supported Abraham Lincoln.
3669,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Technology,A <e1>maker</e1> of electric <e2>cars</e2> plans to use old GM plant in Delaware.
3670,"Product-Producer(e2,e1)",Comment:,Education,<e1>Astrophysicists</e1> have discovered a new <e2>explanation</e2> for the early composition of our solar system.
3671,"Entity-Origin(e1,e2)",Comment:,News,The immigrant <e1>population</e1> comes from the Pacific <e2>region</e2>.
3672,Other,Comment:,Art,<e1>Natron</e1> is an ingredient for making a distinct <e2>color</e2> called Egyptian blue.
3673,"Component-Whole(e1,e2)",Comment:,Story,The <e1>handle</e1> of the <e2>stick</e2> was covered with plastic material for more durability (Figure - 3).
3674,"Entity-Destination(e1,e2)",Comment:,Story,"Once outside, the python was placed in a <e1>bag</e1>, which was put inside a dog <e2>crate</e2>."
3675,"Entity-Origin(e1,e2)",Comment:,Art,The current <e1>band</e1> arrived from the Lafayette <e2>competition</e2>.
3676,"Instrument-Agency(e2,e1)",Comment:,Story,This course teaches home <e1>builders</e1> when to use <e2>concrete</e2> for a paving or floor project.
3677,"Member-Collection(e2,e1)",Comment:,News,The residents of Capistrano need to wash their cars after the annual <e1>flight</e1> of <e2>swallows</e2> returns.
3678,"Cause-Effect(e2,e1)",Comment:,Politics,The US forces have withdrawn due to the <e1>damage</e1> caused by the eruption and the <e2>typhoon</e2>.
3679,"Cause-Effect(e1,e2)",Comment:,News,"The <e1>riot</e1> resulted in the <e2>deaths</e2> of 196 people, and led to a major reform in the country's economic policy favouring the Malays."
3680,"Entity-Destination(e1,e2)",Comment:,Story,She poured <e1>flour</e1> into a flat metal <e2>pan</e2>.
3681,"Entity-Destination(e1,e2)",Comment:,Story,The <e1>goods</e1> have been delivered to the <e2>buyer</e2>.
3682,"Cause-Effect(e1,e2)",Comment:,Biology,"Canine <e1>flea</e1> <e2>infestation</e2> is caused by fleas, which are small, wingless blood-sucking insects."
3683,"Content-Container(e2,e1)","Comment: prototypical example, bag satisfies (a)",Story,"It turned out that the <e1>bag</e1> was full of <e2>sand</e2> and had been inadvertently left behind by JanSport, a company that makes backpacks."
3684,Other,"Comment: Combination here is a mix, the elements are not independent of each other.",News,"In this case report we describe a young female with BCS, which was the result of a <e1>combination</e1> of risk <e2>factors</e2>, including the recently discovered G20210A."
3685,Other,Comment: lake is not a product,History,"He went up to Oxford during the war to read English and, after war service in India, codirected The Tempest with Neville Coghill in an outdoor <e1>production</e1> by the Worcester College <e2>lake</e2>."
3686,Other,Comment: Participation.,History,"He founded the Emmaus Program, an annual <e1>convocation</e1> of diocesan <e2>clergy</e2> for their continuing education and spiritual formation, in 1983."
3687,"Product-Producer(e1,e2)","Comment: the tomb was finished by a follower, multiple people involved in the process",History,Over the entrance to the left circular chapel is the <e1>tomb</e1> of Pius II (1475) finished by a <e2>follower</e2> of the Andrea Bregno.
3688,"Entity-Destination(e1,e2)","Comment: both are abstract, b.1 holds",News,<e1>Money</e1> for communication is invested into Ethernet <e2>technology</e2>.
3689,"Cause-Effect(e2,e1)",Comment:,News,Stella Liebeck is the woman who sued McDonalds after she suffered a serious <e1>burn</e1> after the <e2>spilling</e2> of a cup of coffee on her lap.
3690,"Cause-Effect(e1,e2)",Comment:,Education,"The <e1>bending</e1> caused a <e2>fracture</e2> on the tension side of the test specimen, but the UHMP fiber ribbon held the fractured parts together."
3691,"Cause-Effect(e2,e1)",Comment:,Politics,"Following a decision made by the Typhoon Committee in cooperation with United Nations agencies and the League of Red Crescent Societies, ESCAP compiles every year region-wide statistics and reports on the <e1>harm</e1> caused by tropical cyclones, <e2>floods</e2>, droughts and other severe weather events."
3692,"Product-Producer(e1,e2)",Comment: (a) is satisfied,News,Using the analytical <e1>tools</e1> developed by the MIT <e2>team</e2> for this study was the first step in the detailed analysis.
3693,"Message-Topic(e1,e2)",Comment:,Art,Our <e1>preview</e1> below highlights some of the <e2>features</e2> from lesser known artists.
3694,"Component-Whole(e2,e1)",Comment:,Biology,The <e1>fish</e1> <e2>gill</e2> is arguably one of the most complex transport epithelia in the biological world.
3695,"Component-Whole(e1,e2)",Comment:,Technology,"In contrast, the <e1>rotors</e1> of the screw <e2>compressor</e2> and quite a few others rotate in opposite directions."
3696,Other,Comment:,Biology,<e1>Panic</e1> <e2>attacks</e2> linked to heart disease and heart attacks.
3697,Other,Comment: People with disabilities are a KIND of group.,Story,"However in addition to Maori, other population <e1>groups</e1> need specific recognition in the Bill, including <e2>people</e2> with disabilities."
3698,"Entity-Destination(e1,e2)",Comment: temporal destination.,Art,These musicians have transported the <e1>vibe</e1> into the <e2>current century</e2>.
3699,"Entity-Origin(e1,e2)",Comment:,Story,"Hand-stitched with fabric and <e1>clothing</e1> from different <e2>eras</e2> of her life, this quilt is imbued with meaning and memory."
3700,"Entity-Destination(e1,e2)",Comment:,Story,He was sending <e1>emails</e1> to undisclosed <e2>recipients</e2> frequently.
3701,"Member-Collection(e2,e1)",Comment:,Story,"There is great diversity of collective nouns associated with animals, from a <e1>sleuth</e1> of <e2>bears</e2> to a murder of crows."
3702,"Cause-Effect(e1,e2)",Comment:,News,The <e1>influx</e1> caused a further <e2>drain</e2> on the country's already scanty resources.
3703,"Message-Topic(e1,e2)",Comment:,Education,The examination <e1>paper</e1> was based on <e2>topics</e2> which previously had been treated in prerequisite modules in isolation.
3704,"Component-Whole(e1,e2)",Comment:,Story,"From the operating area, when the operator moves the <e1>handgrip</e1> of the master <e2>arm</e2>, the motion gets reproduced on the tong of the slave arm in the remote area."
3705,"Message-Topic(e1,e2)",Comment: Proposals could be a better e2.,Story,We are only interested in the <e1>parts</e1> of the proposals that pertain to <e2>local issues</e2>.
3706,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Art,"Let It Be, the third full-length <e1>record</e1> by the now long-defunct Minnesota <e2>quartet</e2>, was released at the tail end of 1984."
3707,"Member-Collection(e2,e1)",Comment:,Art,"Louise is a director, audit chair and finance <e1>committee</e1> <e2>member</e2> of a public health board, and was a director of AFAANZ for 3 years."
3708,"Entity-Origin(e2,e1)",Comment: modality is outside,News,Higher <e1>cane</e1> <e2>sugar</e2> prices are unlikely to have any impact on the price of soft drinks.
3709,"Message-Topic(e1,e2)",Comment:,History,This <e1>article</e1> charts the <e2>history</e2> of the city from its settlement by the Insubres around 600 BC.
3710,"Component-Whole(e2,e1)",Comment:,Story,The teacher set up an activity where each time the <e1>dancer</e1> performed a tendu with a fully stretched <e2>foot</e2> she received a tag.
3711,"Component-Whole(e1,e2)",Comment:,Story,The <e1>flapper</e1> of the <e2>valve</e2> opens and oxygen from the hose enters.
3712,"Component-Whole(e1,e2)",Comment:,Biology,The <e1>tail</e1> of the <e2>shark</e2> continued to swish back and forth a few feet away.
3713,"Content-Container(e1,e2)",Comment: prototypical example,Story,"The <e1>rifle</e1> was enclosed in a <e2>case</e2>, which, in turn, was enclosed in a box."
3714,"Entity-Origin(e1,e2)",Comment:,Chemistry,The <e1>alizarin</e1> was extracted from the <e2>roots</e2> of Rubia tinctorium and Rubia peregrina which grew wild in the Mediterranean region.
3715,Other,"Comment: ""Jungle"" here is a quality (something is like a jungle), not a set of like things.",News,Today most of the world's unreached people live in the <e1>jungle</e1> of big <e2>cities</e2> and no longer in the real jungle.
3716,"Entity-Origin(e1,e2)",Comment:,Physic,"Because pressure is low in the vacuum or inert gas, the <e1>gas</e1> leaves the <e2>metal</e2>."
3717,"Member-Collection(e2,e1)",Comment:,Art,"Mobilizing a <e1>collective</e1> of <e2>musicians</e2>, artists, models and collaborators N.I.C.E. built a temporary community 60 miles outside the San Francisco city limits."
3718,"Member-Collection(e2,e1)",Comment:,Art,"Even in its harshest moments, the guitars sound like a <e1>chorus</e1> of fuzzed-out <e2>angels</e2>."
3719,"Component-Whole(e1,e2)",Comment:,Story,"When he want for a run, he checked the <e1>timer</e1> on the <e2>oven</e2>, and again when he returned."
3720,"Cause-Effect(e2,e1)",Comment:,Chemistry,This ingredient also repairs the <e1>damage</e1> that has been caused by the <e2>sun</e2>.
3721,"Component-Whole(e2,e1)",Comment:,Story,The cheddar cheese in the <e1>pie</e1> <e2>crust</e2> of this apple pie is a stroke of genius.
3722,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Art,The <e1>musician</e1> performed <e2>music</e2> in venues around the United States.
3723,"Component-Whole(e1,e2)",Comment:,Technology,"Preferably, the fuse is foreseen between the <e1>pin</e1> of the <e2>plug</e2> which projects to the outside and the inner connector of the plug."
3724,Other,Comment:,News,Mark Patterson discusses the <e1>issues</e1> affecting daily <e2>life</e2> in the north-west.
3725,"Instrument-Agency(e2,e1)",Comment:,Story,A car <e1>dealer</e1> attaches a license <e2>plate</e2> to a minivan sold at a Eugene dealership.
3726,Other,Comment:,FirstP,I picked up the latest issue of Woman's World magazine a few days ago because it had a head line about the effect of <e1>safflower</e1> on <e2>belly fat</e2>.
3727,"Entity-Destination(e1,e2)","Comment: both are abstract, but this is allowed by b.1",Art,Real-world <e1>truths</e1> were imported into the fictional <e2>world</e2>.
3728,"Member-Collection(e2,e1)",Comment:,Art,Bella Strings is a professional string <e1>ensemble</e1> of passionate <e2>musicians</e2> performing in the greater Orlando area and across Central Florida.
3729,"Entity-Destination(e1,e2)",Comment: prototypical example; movement,Story,"The collapsing funnel compressed to a fraction of its extended size, and the <e1>unit</e1> was moved to a kitchen <e2>drawer</e2>."
3730,"Content-Container(e2,e1)",Comment: prototypical example,News,The new armored <e1>casemate</e1> fitted on the hull enclosed a 15 cm <e2>howitzer</e2>.
3731,"Component-Whole(e2,e1)",Comment:,Technology,The electrical connector <e1>assembly</e1> is further comprising a circulating <e2>pipe</e2> for providing the airflow passage by the mini-motor to at least one of the clearance and the gap.
3732,"Cause-Effect(e2,e1)",Comment:,News,"Apparently, beyond the <e1>damage</e1> caused by the smoke and the <e2>water</e2>, the structure of the store itself it was not overly damaged."
3733,"Product-Producer(e2,e1)",Comment:,History,"A local <e1>man</e1> put up a <e2>monument</e2> at the site, and in 1997 a community group put up a welcoming sign for visitors."
3734,"Cause-Effect(e1,e2)",Comment:,Biology,"Individuals with this change, or with similar mutations in the USH2A gene, develop moderate to severe hearing loss and retinitis pigmentosa, a <e1>disorder</e1> that results in <e2>loss</e2> of vision."
3735,"Entity-Destination(e1,e2)",Comment:,History,Rare <e1>crabs</e1> have arrived into the historical <e2>archives</e2>.
3736,"Member-Collection(e2,e1)",Comment:,Story,"The guardianship lay in the hands of his pious mother, the Empress Agnes, until April 1063, however, when a <e1>faction</e1> of <e2>conspirators</e2>, led by Archbishop Anno II of Cologne, abducted the young king, who tried to safe himself by jumping into the Rhine."
3737,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Politics,At 5.55pm the <e1>government</e1> issues a <e2>statement</e2> saying a Ministry of Defence official has come forward and admitted meeting BBC defence correspondent Andrew Gilligan on May 22.
3738,"Component-Whole(e2,e1)",Comment:,Story,Your <e1>cat</e1> uses these <e2>whiskers</e2> to judge the size of an opening.
3739,Other,Comment: violates c.3,Story,Barber's Olympic bobsleigh <e1>plans</e1> go into <e2>meltdown</e2>.
3740,"Component-Whole(e2,e1)",Comment:,Story,The <e1>sword</e1> appears in the photograph with the <e2>hilt</e2> at 10 o'clock and the blade tip at 5 o'clock.
3741,"Member-Collection(e2,e1)",Comment: negation and modality are outside,Physic,"Yet in Judd's <e1>stack</e1> of galvanized-iron <e2>boxes</e2>, all of the units are identical; they are set on the wall and separated, so that none is subordinated to another's weight (and also so that the space around them plays a role in the work equivalent to theirs); and their regular climb -- each of the twelve boxes is nine inches high, and they rest nine inches apart -- suggests an infinitely extensible series, denying the possibility of a crowning summit."
3742,"Product-Producer(e1,e2)","Comment: (a), (d) satisfied",News,Today's <e1>statement</e1> by the <e2>chancellor</e2> was a responsible one.
3743,"Component-Whole(e2,e1)",Comment:,News,Under-keel clearances in the Panama Canal (PC) and the SLS were calculated for ship transits by comparison of elevations of the <e1>ship</e1>'s <e2>keel</e2> and channel bottom.
3744,"Product-Producer(e1,e2)","Comment: (a),(d) satisfied",Art,A food <e1>memoir</e1> written by a <e2>commentator</e2> on race and politics - it doesn't sound that appetising.
3745,"Member-Collection(e2,e1)",Comment:,Technology,A system for attaining an impedance match uses an <e1>array</e1> of collinear <e2>dipoles</e2>.
3746,"Component-Whole(e1,e2)",Comment:,Story,"This reconstruction involved track removals, conversion of each deck (lower and upper) to one-way motor vehicle traffic, and the lowering of the lower <e1>deck</e1> of the <e2>bridge</e2> by 16 inches through the Yerba Buena Tunnel."
3747,"Component-Whole(e2,e1)",Comment:,Art,"With a concert coming up in only 4 hours, you are working feverishly to perfect the tune of the <e1>piano</e1> 's <e2>strings</e2>."
3748,"Content-Container(e1,e2)",Comment: prototypical example,News,"Although there was ammunition scattered over the apartment, the <e1>gun</e1> itself was locked in a <e2>safe</e2>, and not loaded."
3749,"Content-Container(e1,e2)",Comment: prototypical example,Story,The <e1>shaving cream</e1> was contained in a <e2>box</e2> with plywood sides and plastic faces.
3750,"Member-Collection(e2,e1)",Comment:,News,There is an urgent need for a <e1>fraternity</e1> of various <e2>sections</e2> of the people to fight for the rights of the tribals and against the increasing atrocities on them.
3751,"Entity-Destination(e1,e2)",Comment:,Story,Albion students took the <e1>sled dogs</e1> into the Canadian <e2>wilds</e2>.
3752,"Message-Topic(e1,e2)",Comment:,News,Sky Cops is a British reality TV <e1>show</e1> revealing the <e2>work</e2> of the air police.
3753,Other,Comment:,News,Whitaker had what it took to play the terrifying Ugandan dictator - but the other <e1>man</e1> convinced him with his <e2>passion</e2> for the part.
3754,"Product-Producer(e1,e2)",Comment: the monkey is actively involved in the making,Story,"The biggest news at the festival was not my receiving the prestigious Aleksandar Lifka Award for cinematography, but that the first screening was held of a <e1>movie</e1> made entirely by a <e2>monkey</e2>."
3755,"Entity-Origin(e2,e1)",Comment:,Story,The Indians drink so much <e1>maize</e1> <e2>liquor</e2> that it makes them drunk.
3756,"Message-Topic(e1,e2)",Comment:,Technology,"A new <e1>documentary</e1> investigates the short <e2>career</e2> of GM's electric vehicle, the EV1."
3757,Other,Comment:,Story,The <e1>burglar</e1> forgot to log out before leaving the home with two diamond <e2>rings</e2>.
3758,"Cause-Effect(e2,e1)",Comment:,History,The Germanic <e1>migrations</e1> of the fifth century were triggered by the <e2>destruction</e2> of the Gothic kingdoms by the Huns in 372-375.
3759,"Member-Collection(e2,e1)",Comment:,Story,Brown and white butterflies flip-flopped over a <e1>stand</e1> of <e2>fireweed</e2>.
3760,Other,Comment: violates b.1 and c.3,News,The <e1>country</e1> is sinking into <e2>turmoil</e2>.
3761,"Product-Producer(e1,e2)",Comment: modality and negation are outside,Story,This established his reputation as a <e1>road</e1> <e2>builder</e2> as other engineers had believed it could not be done.
3762,Other,"Comment: A collocation: ""war of words"". The Internet is the place of that war.",Technology,"In the run-up to this match, a new <e1>war</e1> of words has erupted on the <e2>internet</e2> in yet another twist to the long-simmering saga."
3763,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Economic,Senior <e1>bondholders</e1> who drafted the reorganization <e2>plan</e2> for bankrupt Six Flags revealed their investments.
3764,"Entity-Destination(e1,e2)",Comment:,Technology,A low temperature superconducting <e1>magnet</e1> has been delivered to Ad Astra's Houston <e2>facility</e2>.
3765,"Component-Whole(e2,e1)",Comment:,Story,"The <e1>package</e1> includes the BBC Fight for Life"" <e2>series</e2> of videos, which chronicles the difficulties experienced in the lives of women giving birth in developing countries."""
3766,"Component-Whole(e2,e1)",Comment:,Technology,Fuji Electric has developed a quick battery <e1>charger</e1> that copes with the regulations using a choke input <e2>system</e2>.
3767,"Component-Whole(e2,e1)",Comment:,Technology,"Specifications of electric <e1>heater</e1> <e2>thermostats</e2> include temperature ranging from 50 degrees F to 80 degrees F, current ranging from 19 A to 22 A, & voltage ranging from 120 V to 277 V."
3768,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Art,It was an elegant book that treats the <e1>painter</e1>'s life and <e2>works</e2> with reverence.
3769,Other,"Comment: Research is a process, not a message - violation of (d). The modality is outside e1-e2.",Education,"The purpose of this <e1>thesis research</e1> was to examine <e2>social structure</e2>, culture, and gender as potential sources of variation in the seriousness of punishment recommended for everyday acts of wrongdoing."
